[2025-11-27 01:52:35] [START] REAL AUDIOBOOK ACQUISITION WORKFLOW
[2025-11-27 01:52:35] [INFO] Start time: 2025-11-27T01:52:35.935914
[2025-11-27 01:52:35] [INFO] 
[2025-11-27 01:52:35] [INFO] ================================================================================
[2025-11-27 01:52:35] [INFO] SYSTEM CONNECTIVITY CHECK
[2025-11-27 01:52:35] [INFO] ================================================================================
[2025-11-27 01:52:35] [OK] AudiobookShelf OK: 1 libraries
[2025-11-27 01:52:35] [OK] Prowlarr OK: http://localhost:9696
[2025-11-27 01:52:36] [OK] qBittorrent OK: http://192.168.0.48:52095/
[2025-11-27 01:52:36] [OK] MAM credentials configured
[2025-11-27 01:52:36] [INFO] 
[2025-11-27 01:52:36] [OK] ALL SYSTEMS READY
[2025-11-27 01:52:36] [INFO] 
[2025-11-27 01:52:36] [INFO] ================================================================================
[2025-11-27 01:52:36] [INFO] CURRENT LIBRARY SCAN
[2025-11-27 01:52:36] [INFO] ================================================================================
[2025-11-27 01:52:36] [INFO] Scanning library: Library
[2025-11-27 01:52:36] [INFO] Loaded 500 items
[2025-11-27 01:52:36] [INFO] Loaded 1000 items
[2025-11-27 01:52:36] [INFO] Loaded 1500 items
[2025-11-27 01:52:37] [INFO] Loaded 2000 items
[2025-11-27 01:52:37] [INFO] Loaded 2500 items
[2025-11-27 01:52:37] [INFO] Loaded 3000 items
[2025-11-27 01:52:37] [INFO] Loaded 3500 items
[2025-11-27 01:52:38] [INFO] Loaded 4000 items
[2025-11-27 01:52:38] [INFO] Loaded 4500 items
[2025-11-27 01:52:38] [INFO] Loaded 5000 items
[2025-11-27 01:52:38] [INFO] Loaded 5500 items
[2025-11-27 01:52:39] [INFO] Loaded 6000 items
[2025-11-27 01:52:39] [INFO] Loaded 6500 items
[2025-11-27 01:52:39] [INFO] Loaded 7000 items
[2025-11-27 01:52:39] [INFO] Loaded 7500 items
[2025-11-27 01:52:40] [INFO] Loaded 8000 items
[2025-11-27 01:52:40] [INFO] Loaded 8500 items
[2025-11-27 01:52:40] [INFO] Loaded 9000 items
[2025-11-27 01:52:40] [INFO] Loaded 9500 items
[2025-11-27 01:52:40] [INFO] Loaded 10000 items
[2025-11-27 01:52:41] [INFO] Loaded 10500 items
[2025-11-27 01:52:41] [INFO] Loaded 11000 items
[2025-11-27 01:52:41] [INFO] Loaded 11500 items
[2025-11-27 01:52:42] [INFO] Loaded 12000 items
[2025-11-27 01:52:42] [INFO] Loaded 12500 items
[2025-11-27 01:52:42] [INFO] Loaded 13000 items
[2025-11-27 01:52:42] [INFO] Loaded 13500 items
[2025-11-27 01:52:42] [INFO] Loaded 14000 items
[2025-11-27 01:52:43] [INFO] Loaded 14500 items
[2025-11-27 01:52:43] [INFO] Loaded 15000 items
[2025-11-27 01:52:43] [INFO] Loaded 15500 items
[2025-11-27 01:52:43] [INFO] Loaded 16000 items
[2025-11-27 01:52:44] [INFO] Loaded 16500 items
[2025-11-27 01:52:44] [INFO] Loaded 17000 items
[2025-11-27 01:52:44] [INFO] Loaded 17500 items
[2025-11-27 01:52:44] [INFO] Loaded 18000 items
[2025-11-27 01:52:45] [INFO] Loaded 18500 items
[2025-11-27 01:52:45] [INFO] Loaded 19000 items
[2025-11-27 01:52:45] [INFO] Loaded 19500 items
[2025-11-27 01:52:45] [INFO] Loaded 20000 items
[2025-11-27 01:52:46] [INFO] Loaded 20500 items
[2025-11-27 01:52:46] [INFO] Loaded 21000 items
[2025-11-27 01:52:46] [INFO] Loaded 21500 items
[2025-11-27 01:52:46] [INFO] Loaded 22000 items
[2025-11-27 01:52:47] [INFO] Loaded 22500 items
[2025-11-27 01:52:47] [INFO] Loaded 23000 items
[2025-11-27 01:52:47] [INFO] Loaded 23500 items
[2025-11-27 01:52:48] [INFO] Loaded 24000 items
[2025-11-27 01:52:48] [INFO] Loaded 24500 items
[2025-11-27 01:52:48] [INFO] Loaded 25000 items
[2025-11-27 01:52:48] [INFO] Loaded 25500 items
[2025-11-27 01:52:49] [INFO] Loaded 26000 items
[2025-11-27 01:52:49] [INFO] Loaded 26500 items
[2025-11-27 01:52:49] [INFO] Loaded 27000 items
[2025-11-27 01:52:49] [INFO] Loaded 27500 items
[2025-11-27 01:52:50] [INFO] Loaded 28000 items
[2025-11-27 01:52:50] [INFO] Loaded 28500 items
[2025-11-27 01:52:50] [INFO] Loaded 29000 items
[2025-11-27 01:52:50] [INFO] Loaded 29500 items
[2025-11-27 01:52:50] [INFO] Loaded 30000 items
